0,58
2,32
3,32
4,32
8,66
12,66
15,99
17,102
19,48
22,48
25,77
30,77
33,48
37,65
40,49
41,49
45,57
46,57
47,65
48,77
51,77
54,91
55,99
56,31
58,96
61,17
62,17
63,17
64,18
67,96
72,42
73,7
75,100
76,108
80,92
84,92
87,77
89,106
90,108
92,80
98,80
99,61
103,81
109,122
110,105
113,69
114,67
115,133
119,137
120,141
121,79
123,142
125,147
126,159
129,100
134,161
143,147
148,148
149,151
150,99
153,94
154,88
158,97
159,162
167,79
168,64
169,163
174,153
177,115
180,86
182,86
185,117
186,61
197,62
200,61
204,61
